MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
4.7024,3.0,4.7158,0.5689,2874.8006,5.1674,39.5269,-120.0101,2.37498
3.4082,28.0,1.8711,0.5,779.0391,2.6597,39.0559,-120.2161,2.62756
3.2363,2.0,2.4542,0.8784,222.9165,0.7,38.7578,-114.8784,1.10432
3.2364,34.0,2.71,1.5682,4089.6994,12.6771,38.809,-119.7335,3.78213
7.5981,22.0,4.0398,0.541,2322.7089,1.5247,40.2737,-123.8565,4.42712
5.3413,22.0,9.0263,0.8055,648.7643,0.7,39.2666,-117.0391,2.69435
2.8392,30.0,8.161,2.0599,3090.217,0.7,34.3462,-123.5086,0.27658
4.8068,34.0,6.4243,1.526,643.8166,17.7776,34.7862,-118.1819,3.01744
4.1498,48.0,7.2939,0.7949,1491.7203,12.7671,34.1004,-120.9027,1.36964
1.0878,1.0,7.0817,1.1784,536.5329,24.7025,35.6149,-115.3275,4.32242
2.0491,29.0,7.8931,1.1798,3396.0449,9.8779,38.3434,-116.794,1.88028
4.3019,19.0,2.9113,0.5,55.428,11.3416,39.1316,-115.0006,4.97307
7.2501,19.0,8.4754,0.7842,1622.058,0.7,34.767,-121.458,0.22626
3.2511,41.0,5.63,1.3571,303.4692,1.5216,36.7632,-114.601,0.38585
2.7199,52.0,6.1719,0.5228,142.6297,4.7511,35.3069,-119.4177,1.94392
3.8832,41.0,8.0911,1.0141,1240.6173,15.6552,35.7811,-118.9329,4.06716
2.6326,29.0,6.0754,0.5,1875.6833,0.7,36.7535,-122.5153,3.94763
3.136,43.0,3.3198,1.7347,6763.7591,13.3644,41.0388,-123.2121,3.93282
3.6409,33.0,4.9927,2.2856,188.1609,12.7954,35.0585,-120.5959,2.70279
1.9913,51.0,7.1032,1.2276,373.2903,0.7,41.7986,-118.1978,1.36016
5.478,17.0,3.9633,0.812,5556.9254,8.7434,35.8395,-117.081,4.38421
1.7906,38.0,4.0329,0.5,369.8828,0.73,33.519,-117.6819,3.67035
1.6661,1.0,6.2279,1.3741,1382.896,7.1725,36.9138,-122.8922,0.6081
4.0567,50.0,5.8367,1.4881,1570.1616,3.5162,38.4321,-124.0087,3.93241
5.2703,41.0,3.8584,1.263,2360.7138,10.8001,33.4829,-117.3485,4.40068
4.0047,33.0,8.6144,1.6891,645.7867,0.7,34.8486,-121.9582,2.70842
3.4496,36.0,5.9051,1.3033,199.1013,4.2204,34.8009,-122.7241,0.25064
3.1198,22.0,1.0,0.8316,69.2354,5.8541,35.1433,-114.3876,1.93554
2.8534,18.0,6.3923,0.5,132.0674,0.7909,33.1599,-116.3523,0.9314
6.0863,17.0,6.9689,1.2383,1168.6118,0.7,35.2741,-123.359,1.23973
4.3229,32.0,7.0808,0.5,644.6724,7.5631,35.0124,-121.9831,4.12456
2.9776,20.0,4.377,1.3601,2485.2171,0.7,36.1637,-116.3301,4.75575
2.5172,51.0,3.1553,1.8852,742.2965,6.2248,41.8908,-123.0191,1.696
4.9671,23.0,5.491,1.9641,1047.0404,6.639,34.8129,-116.1706,1.77675
6.0164,28.0,5.8677,0.5,4278.3859,3.602,37.9634,-123.3244,3.70854
5.7546,46.0,7.2315,1.6585,1082.3686,0.7,36.226,-123.3624,2.27077
2.283,26.0,6.2112,1.3671,2269.0357,3.8227,38.2489,-119.8282,3.90073
3.1059,7.0,8.0497,1.1767,2050.4048,0.7,39.1561,-119.7035,3.59806
2.8235,41.0,8.1626,0.9486,420.3589,0.8488,39.8768,-115.7101,3.28866
3.3225,20.0,5.4402,0.5,1102.7567,22.5481,41.6661,-121.8194,2.85756
5.453,41.0,3.0769,0.9957,229.5121,4.4481,36.1318,-118.8231,1.08137
6.925,47.0,7.8699,1.4537,375.5202,0.7,32.6224,-124.0883,4.3823
4.4037,11.0,6.7921,1.2977,4708.1688,3.0049,38.1269,-124.1697,3.35499
2.5649,7.0,3.0246,0.8766,261.348,0.7,33.0753,-116.7927,0.65291
3.5985,38.0,4.8526,1.3401,4624.5019,12.3458,34.2713,-118.0929,1.70655
7.5529,27.0,2.9665,1.9213,1725.7311,8.7264,39.7807,-119.9838,2.89469
3.8359,9.0,1.0,1.6242,2858.3142,5.0064,35.0929,-119.1637,0.65142
3.1234,4.0,3.0573,1.0266,342.864,0.7,36.5983,-119.4788,0.27794
3.2619,49.0,1.0,0.9088,696.0846,16.0411,33.5527,-116.8896,1.09035
4.3939,38.0,6.5317,1.0052,2581.617,21.7179,34.7843,-121.6966,1.75325
2.3262,29.0,5.5207,0.6491,2195.0347,0.7,40.3922,-117.1622,3.74182
2.7874,49.0,3.386,1.519,1795.9422,0.7,33.7964,-117.4343,2.23978
5.7137,26.0,7.1458,1.412,503.4829,0.7,38.5082,-120.6806,0.44709
4.3329,25.0,1.9672,0.7063,912.1462,0.7,38.9008,-115.7165,3.16662
3.8557,14.0,8.3819,1.5539,907.1209,0.7,33.0037,-116.3628,3.71252
5.8518,37.0,4.3044,1.5293,4152.9803,0.7,36.0213,-121.9027,0.58569
2.4799,50.0,6.4373,1.5079,1484.0683,0.7,36.4567,-119.9775,3.28754
3.0743,28.0,2.8943,1.3571,596.9941,0.8828,33.7142,-119.0239,1.94187
4.2634,8.0,5.6933,0.5,1023.1744,4.2645,34.5364,-118.5932,4.07554
4.1896,42.0,5.1422,1.6777,3112.0645,0.7,34.1952,-117.6468,3.23806
1.5694,11.0,4.6948,0.5,1823.1454,0.7,40.8258,-117.457,3.0675
2.9187,35.0,4.2885,0.6448,1339.3765,20.7867,41.7075,-117.092,2.28978
3.3664,31.0,6.3636,1.5227,1108.5877,18.7155,36.207,-122.9318,1.22572
4.4961,34.0,3.2653,1.4398,1007.7445,3.0383,36.3983,-121.68,0.23959
4.1823,46.0,1.0,1.0157,860.3752,0.7,33.6335,-124.0628,2.36939
3.526,36.0,5.2397,0.803,3157.442,9.5391,41.7788,-122.7768,1.95641
1.0831,17.0,7.949,1.636,56.1437,3.699,33.4451,-115.3135,1.33841
3.6161,49.0,1.3584,1.5095,515.5321,0.7,33.8637,-122.9108,3.64009
3.7832,21.0,5.5969,0.9728,1759.1913,0.7,38.5463,-116.3361,4.55742
10.695,26.0,5.3947,0.5,2976.5883,9.9104,33.8534,-116.761,2.03789
3.3105,41.0,6.7037,0.7189,4920.9607,4.1528,38.5201,-115.1036,2.36894
4.2749,28.0,5.6252,1.076,4309.2774,15.797,34.7888,-122.591,3.82759
6.3192,22.0,3.7322,1.9635,671.9092,7.1981,38.8905,-114.9834,2.68522
5.3032,41.0,1.5204,1.6043,2971.772,0.7,34.8132,-121.2991,3.65583
7.0622,3.0,5.6092,0.7619,1132.7909,32.5084,40.0201,-118.8582,4.072
1.5841,28.0,3.7751,1.4591,661.5685,16.1326,35.9696,-123.9417,1.88996
2.0782,36.0,3.336,1.4618,3377.7834,8.8977,37.9209,-121.6392,4.23333
2.6857,2.0,5.6211,0.8862,1333.6314,5.1348,41.5614,-122.5768,3.78314
1.4268,46.0,2.7944,1.8084,2089.9452,0.7,40.9422,-114.3554,3.6111
3.7995,20.0,5.684,0.5855,413.1426,0.7,40.0795,-124.1953,2.62435
2.1729,40.0,6.6815,1.2662,718.0524,0.7,36.289,-120.7722,3.53801
7.5073,50.0,1.7909,0.749,71.1365,0.7,34.2935,-121.166,4.7252
2.3621,36.0,7.7152,0.5517,193.779,0.7,40.8577,-116.1966,2.53141
3.0839,8.0,5.3247,0.5,1493.9717,1.2038,39.6542,-116.4921,3.5937
5.4555,39.0,7.8463,1.1285,357.3482,8.8011,38.0933,-116.0389,3.97183
1.7787,25.0,4.6383,1.2508,765.4145,0.7,37.1401,-114.5276,0.60275
1.3696,15.0,9.8253,1.5653,757.4211,0.7,37.4713,-120.9076,2.18372
4.0317,30.0,8.9214,0.928,2079.8313,0.7,38.0614,-122.7361,0.93032
4.1872,47.0,5.3797,1.1132,1192.817,0.7,39.0685,-114.7955,4.58829
5.3767,34.0,5.017,1.5117,1612.2946,6.3756,38.4732,-114.9638,4.06928
4.7597,4.0,1.0,1.1618,185.0056,9.6601,41.5176,-117.987,1.9543
4.2653,22.0,4.9057,0.7505,1329.866,5.9849,37.3436,-114.3443,1.62706
2.5126,25.0,6.0551,0.7545,1372.2474,11.2799,39.2002,-114.3752,3.31393
4.1296,9.0,5.3611,1.6745,1085.2744,10.3717,33.4656,-118.6577,4.08349
4.257,23.0,5.8401,1.5447,152.0128,9.236,39.2128,-123.4391,1.17746
